EmployeeID,Department,JobRole,MissingSkill,Recommendation,CourseID,CourseTitle,Provider,Level,DurationHours,MatchType,SkillImportance,OrgSeverity,AttritionRisk,Priority,Rank
260,Research & Development,Research Scientist,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
260,Research & Development,Research Scientist,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
260,Research & Development,Research Scientist,Science,Learn Science,C038,Scientific Method in Practice,edX,Intermediate,14,tag,4.12,HIGH,LOW,6.18,3
261,Research & Development,Manufacturing Director,SAP,Learn SAP,C029,Enterprise Resource Planning Essentials,SAP,Intermediate,24,tag,4.5,HIGH,HIGH,9.45,1
261,Research & Development,Manufacturing Director,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,HIGH,9.45,2
261,Research & Development,Manufacturing Director,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,HIGH,9.45,3
262,Research & Development,Research Scientist,R,Learn R,C002,Statistical Programming in R,Coursera,Intermediate,24,tag,4.5,HIGH,LOW,6.75,1
262,Research & Development,Research Scientist,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
262,Research & Development,Research Scientist,Writing,Learn Writing,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,4.25,HIGH,LOW,6.375,3
264,Research & Development,Manager,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
264,Research & Development,Manager,Monitoring,Learn Monitoring,C039,Performance Tracking and Review,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,2
264,Research & Development,Manager,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,4.0,HIGH,LOW,6.0,3
267,Research & Development,Research Scientist,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,HIGH,9.45,1
267,Research & Development,Research Scientist,R,Learn R,C002,Statistical Programming in R,Coursera,Intermediate,24,tag,4.5,HIGH,HIGH,9.45,2
267,Research & Development,Research Scientist,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,HIGH,9.45,3
269,Research & Development,Laboratory Technician,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.75,HIGH,HIGH,7.875,1
269,Research & Development,Laboratory Technician,SAP,Learn SAP,C029,Enterprise Resource Planning Essentials,SAP,Intermediate,24,tag,3.5,HIGH,HIGH,7.35,2
269,Research & Development,Laboratory Technician,MEDITECH,Learn MEDITECH,C032,Clinical Records and Patient Data Systems,HIMSS,Intermediate,18,tag,3.5,HIGH,HIGH,7.35,3
270,Research & Development,Manufacturing Director,SAP,Learn SAP,C029,Enterprise Resource Planning Essentials,SAP,Intermediate,24,tag,4.5,HIGH,LOW,6.75,1
270,Research & Development,Manufacturing Director,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
270,Research & Development,Manufacturing Director,Speaking,Learn Speaking,C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,3
271,Research & Development,Manufacturing Director,SAP,Learn SAP,C029,Enterprise Resource Planning Essentials,SAP,Intermediate,24,tag,4.5,HIGH,LOW,6.75,1
271,Research & Development,Manufacturing Director,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
271,Research & Development,Manufacturing Director,Microsoft Outlook,Learn Microsoft Outlook,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,3
273,Research & Development,Manufacturing Director,Monitoring,Learn Monitoring,C039,Performance Tracking and Review,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,1
273,Research & Development,Manufacturing Director,Speaking,Learn Speaking,C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,2
273,Research & Development,Manufacturing Director,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.88,HIGH,LOW,5.82,3
274,Research & Development,Manufacturing Director,SAP,Learn SAP,C029,Enterprise Resource Planning Essentials,SAP,Intermediate,24,tag,4.5,HIGH,HIGH,9.45,1
274,Research & Development,Manufacturing Director,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,HIGH,9.45,2
274,Research & Development,Manufacturing Director,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,HIGH,9.45,3
275,Research & Development,Manufacturing Director,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
275,Research & Development,Manufacturing Director,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,2
275,Research & Development,Manufacturing Director,Monitoring,Learn Monitoring,C039,Performance Tracking and Review,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,3
277,Research & Development,Research Scientist,R,Learn R,C002,Statistical Programming in R,Coursera,Intermediate,24,tag,4.5,HIGH,LOW,6.75,1
277,Research & Development,Research Scientist,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
277,Research & Development,Research Scientist,Speaking,Learn Speaking,C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,tag,4.12,HIGH,LOW,6.18,3
281,Research & Development,Laboratory Technician,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,HIGH,9.45,1
281,Research & Development,Laboratory Technician,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.75,HIGH,HIGH,7.875,2
281,Research & Development,Laboratory Technician,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,3.62,HIGH,HIGH,7.602,3
282,Research & Development,Healthcare Representative,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,HIGH,9.45,1
282,Research & Development,Healthcare Representative,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,HIGH,9.45,2
282,Research & Development,Healthcare Representative,Salesforce,Learn Salesforce,C026,Managing the Customer Pipeline,Trailhead,Beginner,16,tag,4.5,HIGH,HIGH,9.45,3
283,Sales,Sales Executive,Speaking,Learn Speaking,C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,1
283,Sales,Sales Executive,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,2
283,Sales,Sales Executive,Adobe InDesign,Learn Adobe InDesign,C022,Layout and Publication Design,Adobe,Intermediate,14,tag,3.5,HIGH,LOW,5.25,3
284,Research & Development,Research Scientist,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,MEDIUM,7.762,1
284,Research & Development,Research Scientist,R,Learn R,C002,Statistical Programming in R,Coursera,Intermediate,24,tag,4.5,HIGH,MEDIUM,7.762,2
284,Research & Development,Research Scientist,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,MEDIUM,7.762,3
286,Research & Development,Laboratory Technician,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.75,HIGH,HIGH,7.875,1
286,Research & Development,Laboratory Technician,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,3.62,HIGH,HIGH,7.602,2
286,Research & Development,Laboratory Technician,SAP,Learn SAP,C029,Enterprise Resource Planning Essentials,SAP,Intermediate,24,tag,3.5,HIGH,HIGH,7.35,3
287,Research & Development,Healthcare Representative,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
287,Research & Development,Healthcare Representative,Salesforce,Learn Salesforce,C026,Managing the Customer Pipeline,Trailhead,Beginner,16,tag,4.5,HIGH,LOW,6.75,2
287,Research & Development,Healthcare Representative,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,4.12,HIGH,LOW,6.18,3
288,Research & Development,Healthcare Representative,Salesforce,Learn Salesforce,C026,Managing the Customer Pipeline,Trailhead,Beginner,16,tag,4.5,HIGH,LOW,6.75,1
288,Research & Development,Healthcare Representative,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,4.12,HIGH,LOW,6.18,2
288,Research & Development,Healthcare Representative,Active Learning,Learn Active Learning,C034,Learning How to Learn,Coursera,Beginner,8,tag,3.5,HIGH,LOW,5.25,3
291,Sales,Sales Executive,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,MEDIUM,7.762,1
291,Sales,Sales Executive,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,MEDIUM,7.762,2
291,Sales,Sales Executive,Microsoft Outlook,Learn Microsoft Outlook,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,MEDIUM,7.762,3
292,Research & Development,Manufacturing Director,SAP,Learn SAP,C029,Enterprise Resource Planning Essentials,SAP,Intermediate,24,tag,4.5,HIGH,LOW,6.75,1
292,Research & Development,Manufacturing Director,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
292,Research & Development,Manufacturing Director,Microsoft Outlook,Learn Microsoft Outlook,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,3
293,Sales,Sales Executive,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
293,Sales,Sales Executive,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,2
293,Sales,Sales Executive,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,3
296,Research & Development,Research Director,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
296,Research & Development,Research Director,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,2
296,Research & Development,Research Director,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,3
297,Research & Development,Research Scientist,R,Learn R,C002,Statistical Programming in R,Coursera,Intermediate,24,tag,4.5,HIGH,HIGH,9.45,1
297,Research & Development,Research Scientist,Writing,Learn Writing,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,4.25,HIGH,HIGH,8.925,2
297,Research & Development,Research Scientist,Science,Learn Science,C038,Scientific Method in Practice,edX,Intermediate,14,tag,4.12,HIGH,HIGH,8.652,3
298,Sales,Manager,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
298,Sales,Manager,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,2
298,Sales,Manager,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,3
299,Sales,Sales Executive,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,HIGH,9.45,1
299,Sales,Sales Executive,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,HIGH,9.45,2
299,Sales,Sales Executive,Microsoft Outlook,Learn Microsoft Outlook,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,HIGH,9.45,3
300,Research & Development,Research Scientist,R,Learn R,C002,Statistical Programming in R,Coursera,Intermediate,24,tag,4.5,HIGH,LOW,6.75,1
300,Research & Development,Research Scientist,Science,Learn Science,C038,Scientific Method in Practice,edX,Intermediate,14,tag,4.12,HIGH,LOW,6.18,2
300,Research & Development,Research Scientist,Active Learning,Learn Active Learning,C034,Learning How to Learn,Coursera,Beginner,8,tag,4.12,HIGH,LOW,6.18,3
302,Sales,Sales Executive,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
302,Sales,Sales Executive,Adobe Creative Cloud,Learn Adobe Creative Cloud,C020,Digital Image Editing Foundations,Adobe,Beginner,16,tag,3.5,HIGH,LOW,5.25,2
302,Sales,Sales Executive,Critical Thinking,Learn Critical Thinking,C033,Structured Problem Solving,Coursera,Intermediate,12,tag,3.5,HIGH,LOW,5.25,3
303,Sales,Sales Executive,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
303,Sales,Sales Executive,Salesforce,Learn Salesforce,C026,Managing the Customer Pipeline,Trailhead,Beginner,16,tag,4.5,HIGH,LOW,6.75,2
303,Sales,Sales Executive,Speaking,Learn Speaking,C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,3
304,Research & Development,Laboratory Technician,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
304,Research & Development,Laboratory Technician,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.75,HIGH,LOW,5.625,2
304,Research & Development,Laboratory Technician,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,3.62,HIGH,LOW,5.43,3
305,Research & Development,Research Scientist,Science,Learn Science,C038,Scientific Method in Practice,edX,Intermediate,14,tag,4.12,HIGH,LOW,6.18,1
305,Research & Development,Research Scientist,Speaking,Learn Speaking,C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,tag,4.12,HIGH,LOW,6.18,2
305,Research & Development,Research Scientist,Active Learning,Learn Active Learning,C034,Learning How to Learn,Coursera,Beginner,8,tag,4.12,HIGH,LOW,6.18,3
306,Research & Development,Research Director,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
306,Research & Development,Research Director,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
306,Research & Development,Research Director,Monitoring,Learn Monitoring,C039,Performance Tracking and Review,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,3
307,Sales,Sales Executive,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
307,Sales,Sales Executive,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,2
307,Sales,Sales Executive,Salesforce,Learn Salesforce,C026,Managing the Customer Pipeline,Trailhead,Beginner,16,tag,4.5,HIGH,LOW,6.75,3
308,Research & Development,Manufacturing Director,SAP,Learn SAP,C029,Enterprise Resource Planning Essentials,SAP,Intermediate,24,tag,4.5,HIGH,LOW,6.75,1
308,Research & Development,Manufacturing Director,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
308,Research & Development,Manufacturing Director,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,3
309,Research & Development,Research Scientist,R,Learn R,C002,Statistical Programming in R,Coursera,Intermediate,24,tag,4.5,HIGH,LOW,6.75,1
309,Research & Development,Research Scientist,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
309,Research & Development,Research Scientist,Writing,Learn Writing,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,4.25,HIGH,LOW,6.375,3
311,Sales,Sales Representative,Salesforce,Learn Salesforce,C026,Managing the Customer Pipeline,Trailhead,Beginner,16,tag,4.5,HIGH,MEDIUM,7.762,1
311,Sales,Sales Representative,Speaking,Learn Speaking,C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,tag,3.88,HIGH,MEDIUM,6.693,2
311,Sales,Sales Representative,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,3.88,HIGH,MEDIUM,6.693,3
312,Sales,Sales Executive,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
312,Sales,Sales Executive,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,2
312,Sales,Sales Executive,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,3
314,Sales,Sales Executive,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
314,Sales,Sales Executive,Microsoft Outlook,Learn Microsoft Outlook,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
314,Sales,Sales Executive,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,3
315,Research & Development,Research Scientist,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,HIGH,9.45,1
315,Research & Development,Research Scientist,Writing,Learn Writing,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,4.25,HIGH,HIGH,8.925,2
315,Research & Development,Research Scientist,Science,Learn Science,C038,Scientific Method in Practice,edX,Intermediate,14,tag,4.12,HIGH,HIGH,8.652,3
316,Research & Development,Laboratory Technician,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
316,Research & Development,Laboratory Technician,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
316,Research & Development,Laboratory Technician,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.75,HIGH,LOW,5.625,3
319,Research & Development,Manager,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
319,Research & Development,Manager,Speaking,Learn Speaking,C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,2
319,Research & Development,Manager,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,3
321,Human Resources,Human Resources,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
321,Human Resources,Human Resources,Microsoft Outlook,Learn Microsoft Outlook,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
321,Human Resources,Human Resources,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,4.0,HIGH,LOW,6.0,3
323,Sales,Manager,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
323,Sales,Manager,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
323,Sales,Manager,Monitoring,Learn Monitoring,C039,Performance Tracking and Review,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,3
325,Research & Development,Laboratory Technician,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,HIGH,9.45,1
325,Research & Development,Laboratory Technician,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,HIGH,9.45,2
325,Research & Development,Laboratory Technician,SAP,Learn SAP,C029,Enterprise Resource Planning Essentials,SAP,Intermediate,24,tag,3.5,HIGH,HIGH,7.35,3
327,Sales,Manager,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
327,Sales,Manager,Monitoring,Learn Monitoring,C039,Performance Tracking and Review,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,2
327,Sales,Manager,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,4.0,HIGH,LOW,6.0,3
328,Research & Development,Laboratory Technician,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.75,HIGH,MEDIUM,6.469,1
328,Research & Development,Laboratory Technician,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,3.62,HIGH,MEDIUM,6.244,2
328,Research & Development,Laboratory Technician,Microsoft Word,Learn Microsoft Word,C011,Business Documents That Get Read,LinkedIn Learning,Beginner,8,tag,3.5,HIGH,MEDIUM,6.037,3
329,Sales,Manager,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
329,Sales,Manager,Monitoring,Learn Monitoring,C039,Performance Tracking and Review,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,2
329,Sales,Manager,Speaking,Learn Speaking,C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,3
330,Sales,Sales Representative,Speaking,Learn Speaking,C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,tag,3.88,HIGH,LOW,5.82,1
330,Sales,Sales Representative,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,3.88,HIGH,LOW,5.82,2
330,Sales,Sales Representative,Microsoft Project,Learn Microsoft Project,C016,Agile Delivery with Issue Tracking,Atlassian,Intermediate,14,tag,3.5,HIGH,LOW,5.25,3
331,Research & Development,Laboratory Technician,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,HIGH,9.45,1
331,Research & Development,Laboratory Technician,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.75,HIGH,HIGH,7.875,2
331,Research & Development,Laboratory Technician,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,3.62,HIGH,HIGH,7.602,3
332,Research & Development,Laboratory Technician,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
332,Research & Development,Laboratory Technician,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
332,Research & Development,Laboratory Technician,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,3.62,HIGH,LOW,5.43,3
333,Sales,Sales Executive,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
333,Sales,Sales Executive,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
333,Sales,Sales Executive,Microsoft Outlook,Learn Microsoft Outlook,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,3
334,Research & Development,Research Scientist,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
334,Research & Development,Research Scientist,R,Learn R,C002,Statistical Programming in R,Coursera,Intermediate,24,tag,4.5,HIGH,LOW,6.75,2
334,Research & Development,Research Scientist,Speaking,Learn Speaking,C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,tag,4.12,HIGH,LOW,6.18,3
335,Research & Development,Research Scientist,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
335,Research & Development,Research Scientist,R,Learn R,C002,Statistical Programming in R,Coursera,Intermediate,24,tag,4.5,HIGH,LOW,6.75,2
335,Research & Development,Research Scientist,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,3
336,Research & Development,Manager,Monitoring,Learn Monitoring,C039,Performance Tracking and Review,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,1
